Post_Type,Likes,Shares,Comments,Account_Type,Person_Type,Social_Platform,Location,Account_Verification,User_Activity,User_Language,User_Follower,Media_Type
Video,2499129,62,124,Public,Gamer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,5477,video
Reels,780413,60,125,Public,Brand Ambassador,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,7174,video
Carousel,2253448,55,51,Private,Gamer,Facebook,"Los Angeles, USA",Not verified,4 posts per week,English,3387,image
Static Image,458797,41,91,Public,Gamer,Instagram,"Sydney, Australia",Verified,3 posts per week,English,5966,image
Text,1171389,43,111,Public,Travel Blogger,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,5678,text
Static Image,1346358,21,101,Private,User,Goodreads,"London, UK",Not verified,7 post per day,English,8079,image
Static Image,2147354,21,65,Public,User,Instagram,"New York City, USA",Verified,4 posts per week,English,2316,text
Carousel,2075527,64,104,Public,Travel Blogger,Spotify,"London, UK",Not verified,3 posts per week,English,4818,text
Static Image,4234593,19,105,Public,Food Blogger,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,6051,text
Text,1712785,48,132,Public,Content Creator,Twitter,"Paris, France",Not verified,2 posts per week,English,3052,image
Carousel,1802635,23,113,Private,Social Activist,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,2325,image
Static Image,2969098,31,71,Public,Tech Reviewer,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,3185,text
Video,1680869,55,62,Public,Social Activist,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,9778,video
Video,1600232,49,107,Public,User,Facebook,"Sydney, Australia",Not verified,2 posts per week,English,9763,video
Static Image,2824836,19,82,Public,Brand Ambassador,Instagram,"London, UK",Not verified,7 post per day,English,190,video
Video,2087031,29,156,Private,Brand Ambassador,Twitch,"San Francisco, USA",Not verified,14 posts per week,English,346,image
Reels,3438795,32,77,Private,Brand Ambassador,YouTube,"Paris, France",Not verified,15 posts per week,English,8564,image
Reels,4867559,31,98,Public,Content Creator,Goodreads,"New York City, USA",Not verified,16 posts per week,English,8178,text
Video,278697,51,97,Public,Gamer,Twitter,"Los Angeles, USA",Not verified,7 post per day,English,5791,video
Video,3067485,34,105,Public,Fitness Enthusiast,Instagram,"Barcelona, Spain",Not verified,15 posts per week,English,7363,text
Video,2244874,11,111,Public,Travel Blogger,Facebook,"Silicon Valley, USA",Verified,16 posts per week,English,3306,image
Text,2700582,63,122,Public,Gamer,Instagram,Yosemite National Park,Verified,3 posts per week,English,2425,text
Static Image,2042898,18,115,Private,User,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,9162,text
Static Image,530399,37,62,Private,Fitness Enthusiast,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,8734,video
Video,2981727,53,84,Public,Influencer,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,5139,video
Static Image,955175,62,103,Public,Food Blogger,Twitter,"Paris, France",Not verified,3 posts per week,English,5197,image
Video,1679932,50,74,Public,User,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,6423,video
Video,955864,34,70,Public,Food Blogger,Twitter,"San Francisco, USA",Not verified,8 post per day,English,8826,text
Video,453952,43,108,Private,Gamer,Instagram,"New York City, USA",Verified,2 posts per week,English,7450,video
Reels,629939,25,108,Public,Gamer,Facebook,"London, UK",Not verified,4 posts per week,English,7142,video
Reels,2590771,38,119,Public,Travel Blogger,Instagram,"Paris, France",Verified,3 posts per week,English,2954,video
Carousel,1508171,28,72,Public,Travel Blogger,Twitter,"New York City, USA",Not verified,2 posts per week,English,2159,video
Static Image,2344584,46,137,Public,User,Spotify,"Los Angeles, USA",Not verified,8 post per day,English,4328,video
Carousel,2059373,15,124,Public,Brand Ambassador,Instagram,"San Francisco, USA",Verified,3 posts per week,English,1470,video
Reels,4344609,26,145,Private,Fitness Enthusiast,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,2826,video
Static Image,1378233,52,139,Private,Food Blogger,Twitter,"San Jose, USA",Verified,3 posts per week,English,3455,video
Reels,936621,56,135,Public,User,YouTube,"Los Angeles, USA",Not verified,8 post per week,English,637,text
Static Image,1545891,59,54,Public,Travel Blogger,Instagram,"New York City, USA",Verified,4 posts per week,English,1960,text
Carousel,74987,29,96,Public,Brand Ambassador,Twitch,"Seattle, USA",Not verified,2 posts per week,English,5308,video
Carousel,2114659,33,71,Public,Travel Blogger,Instagram,"Rome, Italy",Not verified,2 posts per week,English,4465,text
Video,2167953,19,85,Public,Fitness Enthusiast,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,9396,video
Reels,169032,62,82,Private,Entrepreneur,Facebook,"Los Angeles, USA",Not verified,4 posts per week,English,3831,image
Carousel,2500324,51,118,Public,Food Blogger,Instagram,"Sydney, Australia",Verified,3 posts per week,English,9644,video
Static Image,797631,56,109,Public,Travel Blogger,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,8002,image
Video,1748984,59,106,Public,Influencer,Goodreads,"London, UK",Not verified,8 post per day,English,2978,image
Carousel,121892,18,95,Public,Social Activist,Instagram,"New York City, USA",Verified,4 posts per week,English,5783,text
Static Image,3980943,63,54,Public,Food Blogger,Spotify,"London, UK",Not verified,3 posts per week,English,5940,video
Carousel,2358855,51,107,Public,Travel Blogger,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,3067,text
Carousel,1701468,50,91,Public,User,Twitter,"Paris, France",Not verified,2 posts per week,English,8608,image
Static Image,2181695,22,117,Public,Food Blogger,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,3195,text
Static Image,1038138,12,114,Public,Social Activist,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,4046,text
Static Image,986693,46,130,Public,Entrepreneur,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,8146,video
Video,1039265,54,103,Private,User,Facebook,"Sydney, Australia",Not verified,2 posts per week,English,1885,image
Text,2406176,60,94,Private,Gamer,Instagram,"London, UK",Not verified,8 post per day,English,562,text
Static Image,814495,69,126,Public,Travel Blogger,Twitch,"San Francisco, USA",Not verified,17 posts per week,English,8229,video
Reels,1813217,37,147,Public,Fitness Enthusiast,YouTube,"Paris, France",Not verified,18 posts per week,English,9711,text
Video,2730600,51,132,Public,Social Activist,Goodreads,"New York City, USA",Not verified,19 posts per week,English,9840,video
Reels,781641,40,114,Private,Social Activist,Twitter,"Los Angeles, USA",Not verified,8 post per day,English,4587,text
Reels,702512,33,110,Public,Entrepreneur,Instagram,"Barcelona, Spain",Not verified,17 posts per week,English,3429,text
Carousel,1972904,71,51,Private,Food Blogger,Facebook,"Silicon Valley, USA",Verified,18 posts per week,English,744,image
Carousel,593019,36,76,Public,Fitness Enthusiast,Instagram,Yosemite National Park,Verified,3 posts per week,English,8886,video
Text,1864520,20,144,Public,Brand Ambassador,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,9501,image
Video,213494,66,90,Private,Fitness Enthusiast,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,7126,text
Static Image,2918120,34,134,Public,User,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,660,text
Reels,683949,48,91,Private,Tech Reviewer,Twitter,"Paris, France",Not verified,3 posts per week,English,1175,image
Carousel,3320587,53,125,Public,Brand Ambassador,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,483,text
Carousel,140539,25,90,Private,Entrepreneur,Twitter,"San Francisco, USA",Not verified,9 post per day,English,4552,image
Reels,3209258,42,96,Public,Gamer,Instagram,"New York City, USA",Verified,2 posts per week,English,4978,text
Static Image,1101142,34,153,Public,Influencer,Facebook,"London, UK",Not verified,4 posts per week,English,7324,image
Video,2085752,30,128,Public,Gamer,Instagram,"Paris, France",Verified,3 posts per week,English,2301,video
Static Image,3427458,47,71,Public,User,Twitter,"New York City, USA",Not verified,2 posts per week,English,7005,video
Reels,81205,70,45,Private,Tech Reviewer,Spotify,"Los Angeles, USA",Not verified,9 post per day,English,9546,video
Text,2226411,36,138,Public,Brand Ambassador,Instagram,"San Francisco, USA",Verified,3 posts per week,English,1207,video
Video,2907112,60,69,Private,Fitness Enthusiast,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,7255,video
Static Image,2798011,67,144,Public,Travel Blogger,Twitter,"San Jose, USA",Verified,3 posts per week,English,1076,text
Static Image,1250071,58,94,Public,Brand Ambassador,YouTube,"Los Angeles, USA",Not verified,9 post per week,English,1581,image
Reels,1854477,55,118,Public,Brand Ambassador,Instagram,"New York City, USA",Verified,4 posts per week,English,7040,image
Carousel,942033,50,83,Public,Social Activist,Twitch,"Seattle, USA",Not verified,2 posts per week,English,4783,text
Reels,1301887,65,95,Public,Social Activist,Instagram,"Rome, Italy",Not verified,2 posts per week,English,1835,image
Video,797163,49,81,Public,Food Blogger,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,1718,image
Carousel,4804420,36,140,Public,Travel Blogger,Facebook,"Los Angeles, USA",Not verified,4 posts per week,English,577,video
Carousel,3550097,36,123,Public,Tech Reviewer,Instagram,"Sydney, Australia",Verified,3 posts per week,English,3031,video
Carousel,1483980,68,104,Public,Tech Reviewer,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,3297,image
Carousel,1882073,35,121,Public,Food Blogger,Goodreads,"London, UK",Not verified,9 post per day,English,9594,text
Video,2549627,35,72,Public,Travel Blogger,Instagram,"New York City, USA",Verified,4 posts per week,English,9900,image
Video,1554654,33,110,Public,Tech Reviewer,Spotify,"London, UK",Not verified,3 posts per week,English,6492,image
Reels,2452928,44,92,Private,Influencer,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,4352,video
Carousel,1752197,16,73,Private,User,Twitter,"Paris, France",Not verified,2 posts per week,English,9472,text
Reels,2055373,52,124,Public,Content Creator,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,4102,image
Reels,1464940,28,89,Private,Tech Reviewer,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,972,text
Carousel,1605186,34,89,Public,Gamer,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,906,video
Reels,3956384,30,147,Public,Tech Reviewer,Facebook,"Sydney, Australia",Not verified,2 posts per week,English,966,text
Reels,933452,42,85,Public,Fitness Enthusiast,Instagram,"London, UK",Not verified,9 post per day,English,5628,text
Static Image,1411154,55,82,Public,Brand Ambassador,Twitch,"San Francisco, USA",Not verified,20 posts per week,English,1259,image
Static Image,3698877,69,138,Public,Influencer,YouTube,"Paris, France",Not verified,21 posts per week,English,639,text
Carousel,1387970,34,59,Private,User,Goodreads,"New York City, USA",Not verified,22 posts per week,English,4615,image
Reels,558623,68,115,Public,Social Activist,Twitter,"Los Angeles, USA",Not verified,9 post per day,English,937,image
Static Image,814863,55,63,Public,Entrepreneur,Instagram,"Barcelona, Spain",Not verified,19 posts per week,English,6129,text
Static Image,327201,52,78,Private,Food Blogger,Facebook,"Silicon Valley, USA",Verified,20 posts per week,English,8117,image
Video,286974,68,110,Private,Tech Reviewer,Instagram,Yosemite National Park,Verified,3 posts per week,English,8844,text
Static Image,2112486,26,94,Public,Entrepreneur,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,3513,image
Carousel,3274545,49,129,Private,User,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,9562,text
Carousel,4450162,16,89,Public,Food Blogger,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,3836,text
Static Image,659624,27,121,Private,Travel Blogger,Twitter,"Paris, France",Not verified,3 posts per week,English,9430,text
Carousel,2004959,56,140,Public,Brand Ambassador,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,2739,text
Static Image,1917908,48,55,Public,User,Twitter,"San Francisco, USA",Not verified,10 post per day,English,7221,video
Text,1336484,62,86,Public,User,Instagram,"New York City, USA",Verified,2 posts per week,English,9386,video
Static Image,829684,39,115,Public,Entrepreneur,Facebook,"London, UK",Not verified,4 posts per week,English,4755,image
Reels,1435722,56,143,Private,Brand Ambassador,Instagram,"Paris, France",Verified,3 posts per week,English,3755,video
Static Image,3806107,35,108,Public,Entrepreneur,Twitter,"New York City, USA",Not verified,2 posts per week,English,9818,image
Reels,1949190,58,61,Public,Content Creator,Spotify,"Los Angeles, USA",Not verified,10 post per day,English,2243,image
Static Image,158717,44,145,Public,Tech Reviewer,Instagram,"San Francisco, USA",Verified,3 posts per week,English,8837,image
Text,53057,67,91,Private,Influencer,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,7645,image
Reels,3140398,15,130,Public,Entrepreneur,Twitter,"San Jose, USA",Verified,3 posts per week,English,228,text
Text,1427153,23,67,Public,Gamer,YouTube,"Los Angeles, USA",Not verified,10 post per week,English,154,video
Text,4344740,61,74,Public,Gamer,Instagram,"New York City, USA",Verified,4 posts per week,English,4903,text
Carousel,2317559,70,108,Public,Gamer,Twitch,"Seattle, USA",Not verified,2 posts per week,English,8710,image
Carousel,3697745,66,139,Public,Gamer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,3937,video
Carousel,1873093,41,129,Private,Brand Ambassador,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,8658,video
Carousel,1050849,23,138,Public,Social Activist,Facebook,"Los Angeles, USA",Not verified,4 posts per week,English,4190,video
Carousel,4983216,52,131,Public,User,Instagram,"Sydney, Australia",Verified,3 posts per week,English,9634,text
Static Image,2245710,30,62,Public,Tech Reviewer,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,222,text
Carousel,3197442,53,55,Public,Food Blogger,Goodreads,"London, UK",Not verified,10 post per day,English,5150,video
Reels,4165099,33,137,Public,Gamer,Instagram,"New York City, USA",Verified,4 posts per week,English,1391,image
Video,467653,49,98,Private,Social Activist,Spotify,"London, UK",Not verified,3 posts per week,English,5820,video
Carousel,2553832,65,127,Public,Gamer,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,3228,image
Video,119376,35,110,Public,User,Twitter,"Paris, France",Not verified,2 posts per week,English,2483,image
Reels,2307054,31,148,Public,Food Blogger,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,7173,text
